Site ID,Subject,Activity,Work Period,Time at Work,Interval Length,Break/Work Start Time,Interval Start Time,Mean,STDEV,Variance,Mode,Median,Max,Min,Range
K,701,Platform,Start_Work,10 min before start of work,10 min,7:28 AM,6:39 AM,72.4836066,3.883022226,15.07786161,#N/A,72.102459,79.836066,66.327869,13.508197
K,701,Platform,Start_Lunch,15 min before start of lunch,15 min,8:57 AM,8:43 AM,121.8442623,8.607055943,74.08141201,#N/A,121.991803,143.336066,105.729508,37.606558
K,701,Platform,End_Lunch,15 min before end of lunch,15 min,9:36 AM,9:21 AM,89.91912567,5.02425009,25.24308897,#N/A,90.540984,100.098361,80.04918,20.049181
K,701,Platform,End_Work,15 min before end of work,15 min,15:00,14:44,127.7382513,6.953006978,48.34430604,#N/A,127.442623,137.581967,113.663934,23.918033
K,702,Platform,Start_Work,10 min before start of work,10 min,7:28 AM,6:38 AM,87.7827869,3.253159328,10.58304561,#N/A,87.270492,93.97541,83.393443,10.581967
K,702,Platform,Start_Lunch,15 min before start of lunch,15 min,8:56 AM,8:42 AM,93.33497267,3.260707245,10.63221174,#N/A,93.409836,98.680328,87.327869,11.352459
K,702,Platform,End_Lunch,15 min before end of lunch,15 min,9:37 AM,9:22 AM,94.2775956,4.990999326,24.91007427,#N/A,93.557377,103.262295,87.180328,16.081967
K,702,Platform,End_Work,15 min before end of work,15 min,15:00,14:45,99.26885253,4.248492875,18.04969171,#N/A,99.762295,105.827869,91.647541,14.180328
K,703,Platform,Start_Work,10 min before start of work,10 min,7:28 AM,6:40 AM,72.4836066,3.883022226,15.07786161,#N/A,72.102459,79.836066,66.327869,13.508197
K,703,Platform,Start_Lunch,15 before start of lunch,15 min,9:01 AM,8:47 AM,116.8409836,10.03286377,100.6583555,#N/A,120.860656,128.762295,93.442623,35.319672
K,703,Platform,End_Lunch,15 before end of lunch,15 min,9:30 AM,9:15,94.41639347,5.315545424,28.25502316,#N/A,95.147541,103.303279,82.57377,20.729509
K,703,Platform,End_Work,15 before end of work,15 min,15:30,14:54,118.7983607,8.49417755,72.15105224,#N/A,117.598361,135.204918,107.155738,28.04918
K,704,Platform,Start_Work,10 min before start of work,10 min,7:28 AM,6:39 AM,80.177869,6.242190657,38.96494419,#N/A,81.9918035,86.352459,69.155738,17.196721
K,704,Platform,Start_Lunch,15 before start of lunch,15 min,8:58 AM,8:43 AM,102.1010929,4.59583603,21.12170882,#N/A,102.040984,109.540984,95.819672,13.721312
K,704,Platform,End_Lunch,15 before end of lunch,15 min,9:34 AM,9:19 AM,88.7836066,5.238691431,27.44388791,#N/A,89.819672,97.5,80.844262,16.655738
K,704,Platform,End_Work,15 before end of work,15 min,15:00,14:45,115.6803278,4.141816444,17.15464345,114.827869,114.827869,123.795082,110.229508,13.565574
K,705,Ground,Start_Work,10 min before start of work,10 min,7:15 AM,6:36 AM,82.3139345,4.018736774,16.15024526,#N/A,81.7991805,88.704918,74.606557,14.098361
K,705,Ground,Start_Lunch,15 before start of lunch,15 min,9:00 AM,8:45 AM,111.2502732,4.908144734,24.08988473,107.680328,111.368852,118.614754,98.344262,20.270492
K,705,Ground,End_Lunch,15 before end of lunch,15 min,9:35 AM,9:20 AM,88.91912567,5.41631241,29.33644012,#N/A,89.254098,98.131148,80.959016,17.172132
K,705,Ground,End_Work,15 before end of work,15 min,11:53 AM,11:40 AM,118.3387979,10.30806781,106.2562619,#N/A,118.770492,133.57377,92.278689,41.295081
K,706,Ground,Start_Work,10 min before start of work,10 min,7:15 AM,6:39 AM,74.5606558,3.666141762,13.44059542,#N/A,73.872951,81.139344,69.360656,11.778688
K,706,Ground,Start_Lunch,15 before start of lunch,15 min,9:00,8:45 AM,104.2786884,3.958245482,15.6677073,#N/A,104.5,110.647541,97.819672,12.827869
K,706,Ground,End_Lunch,15 before end of lunch,15 min,9:39,9:24 AM,80.07431673,6.753153663,45.60508439,#N/A,79.819672,94.672131,69.459016,25.213115
K,706,Ground,End_Work,15 before end of work,15 min,11:53 AM,11:38 AM,96.0551912,3.860717196,14.90513727,#N/A,97.565574,100.754098,87,13.754098
K,707,Ground,Start_Work,10 min before start of work,10 min,7:15 AM,6:37 AM,72.0647541,3.632382711,13.19420416,#N/A,71.790984,78.672131,67.032787,11.639344
K,707,Ground,Start_Lunch,15 before start of lunch,15 min,9:00 AM,8:45 AM,92.45409827,3.714976536,13.80105066,88.663934,91.786885,101.090164,88.491803,12.598361
K,707,Ground,End_Lunch,15 before end of lunch,15 min,9:38 AM,9:24 AM,71.76939893,7.021513721,49.30165493,#N/A,70.385246,83.254098,62.032787,21.221311
K,707,Ground,End_Work,15 before end of work,15 min,11:52 AM,11:38 AM,95.4519126,3.811397304,14.52674941,#N/A,95.196721,103.393443,89.778689,13.614754
K,708,Ground,Start_Work,10 min before start of work,10 min,7:15 AM,6:38 AM,77.164754,1.906894301,3.636245875,#N/A,77.389344,79.852459,74.106557,5.745902
K,708,Ground,Start_Lunch,15 before start of lunch,15 min,9:00 AM,8:45 AM,103.3710383,2.57357737,6.623300481,#N/A,103.614754,107.663934,99.622951,8.040983
K,708,Ground,End_Lunch,15 before end of lunch,15 min,9:38 AM,9:23,99.0923498,5.018453142,25.18487194,#N/A,99.696721,105.377049,87.836066,17.540983
K,708,Ground,End_Work,15 before end of work,15 min,11:50 AM,11:36 AM,114.8770494,5.482180771,30.05430601,#N/A,115.540984,124,105.786885,18.213115
K,709,Ladder,Start_Work,10 min before start of work,10 min,7:29 AM,6:34 AM,68.2303279,6.055608159,36.67039018,#N/A,66.557377,79.057377,60.893443,18.163934
K,709,Ladder,Start_Lunch,15 before start of lunch,15 min,9:06,8:53 AM,131.3224043,9.086273047,82.56035789,#N/A,132.614754,144.45082,112.245902,32.204918
K,709,Ladder,End_Lunch,15 before end of lunch,15 min,9:39 AM,9:24 AM,88.97650267,17.68456118,312.743704,#N/A,83.163934,117.565574,66.909836,50.655738
K,709,Ladder,End_Work,15 before end of work,15 min,14:50,14:35,133.0094908,2.971385581,8.829132274,#N/A,132.713115,139.344262,126.409836,12.934426
K,710,Ladder,Start_Work,10 min before start of work,10 min,7:29 AM,6:39 AM,66.9500001,2.345072422,5.499364666,#N/A,67.110656,69.532787,62.5,7.032787
K,710,Ladder,Start_Lunch,15 before start of lunch,15 min,9:05 AM,8:50 AM,103.1311475,9.526908564,90.76198679,#N/A,105.47541,113.729508,81.5,32.229508
K,710,Ladder,End_Lunch,15 before end of lunch,15 min,9:39 AM,9:24 AM,98.453552,9.472640891,89.73092545,#N/A,97.139344,119.057377,85.663934,33.393443
K,710,Ladder,End_Work,15 before end of work,15 min,14:33,14:18,102.5890711,5.296677626,28.05479388,#N/A,102.590164,113.557377,93.254098,20.303279
K,711,Ladder,Start_Work,10 min before start of work,10 min,7:29 AM,6:46 AM,72.0918034,3.858079939,14.88478082,#N/A,73.3811475,76.795082,66.909836,9.885246
K,711,Ladder,Start_Lunch,15 before start of lunch,15 min,9:04 AM,8:50 AM,123.0240437,9.4053038,88.45973956,#N/A,124.819672,135.295082,100.688525,34.606557
