Beg.Time.s.,End.Time..s.,Value,win,Time,Subject,Equipment,DominantSide,TimeAdjusted
1499.5,1500.5,53.43653365,3,30,Subj701,Platform,DM,10
2099.5,2100.5,53.65613832,4,40,Subj701,Platform,DM,20
2699.5,2700.5,54.12243969,5,50,Subj701,Platform,DM,30
3299.5,3300.5,53.52073335,6,60,Subj701,Platform,DM,40
3899.5,3900.5,53.52327206,7,70,Subj701,Platform,DM,50
4499.5,4500.5,53.30790555,8,80,Subj701,Platform,DM,60
5099.5,5100.5,52.64623869,9,90,Subj701,Platform,DM,70
5699.5,5700.5,54.41162696,10,100,Subj701,Platform,DM,80
6299.5,6300.5,51.55410466,11,110,Subj701,Platform,DM,90
6899.5,6900.5,53.29021577,12,120,Subj701,Platform,DM,100
9299.5,9300.5,52.15072777,16,160,Subj701,Platform,DM,140
9899.5,9900.5,51.81804761,17,170,Subj701,Platform,DM,150
10499.5,10500.5,51.58415767,18,180,Subj701,Platform,DM,160
11099.5,11100.5,53.26772412,19,190,Subj701,Platform,DM,170
11699.5,11700.5,54.36892539,20,200,Subj701,Platform,DM,180
12299.5,12300.5,54.61454917,21,210,Subj701,Platform,DM,190
12899.5,12900.5,53.79791631,22,220,Subj701,Platform,DM,200
13499.5,13500.5,54.94183425,23,230,Subj701,Platform,DM,210
14099.5,14100.5,53.40971974,24,240,Subj701,Platform,DM,220
14699.5,14700.5,52.25701874,25,250,Subj701,Platform,DM,230
15299.5,15300.5,54.04322085,26,260,Subj701,Platform,DM,240
15899.5,15900.5,52.12919694,27,270,Subj701,Platform,DM,250
16499.5,16500.5,51.89836997,28,280,Subj701,Platform,DM,260
17099.5,17100.5,52.10559088,29,290,Subj701,Platform,DM,270
17699.5,17700.5,52.6445863,30,300,Subj701,Platform,DM,280
18299.5,18300.5,50.39524595,31,310,Subj701,Platform,DM,290
18899.5,18900.5,51.34522784,32,320,Subj701,Platform,DM,300
19499.5,19500.5,50.69282414,33,330,Subj701,Platform,DM,310
20099.5,20100.5,51.14503971,34,340,Subj701,Platform,DM,320
20699.5,20700.5,52.36608188,35,350,Subj701,Platform,DM,330
21299.5,21300.5,52.40690828,36,360,Subj701,Platform,DM,340
21899.5,21900.5,52.92317987,37,370,Subj701,Platform,DM,350
22499.5,22500.5,51.18063862,38,380,Subj701,Platform,DM,360
23099.5,23100.5,51.89654015,39,390,Subj701,Platform,DM,370
23699.5,23700.5,50.88780211,40,400,Subj701,Platform,DM,380
24299.5,24300.5,52.38926107,41,410,Subj701,Platform,DM,390
24899.5,24900.5,52.39886643,42,420,Subj701,Platform,DM,400
25499.5,25500.5,51.80873614,43,430,Subj701,Platform,DM,410
26099.5,26100.5,50.56972673,44,440,Subj701,Platform,DM,420
26699.5,26700.5,50.04079979,45,450,Subj701,Platform,DM,430
27299.5,27300.5,50.84702419,46,460,Subj701,Platform,DM,440
27899.5,27900.5,51.08996695,47,470,Subj701,Platform,DM,450
1499.5,1500.5,57.07107028,3,30,Subj701,Platform,ND,10
2099.5,2100.5,52.82882106,4,40,Subj701,Platform,ND,20
2699.5,2700.5,49.20449204,5,50,Subj701,Platform,ND,30
3299.5,3300.5,51.1739001,6,60,Subj701,Platform,ND,40
3899.5,3900.5,49.51587663,7,70,Subj701,Platform,ND,50
4499.5,4500.5,51.53684408,8,80,Subj701,Platform,ND,60
5099.5,5100.5,51.32101825,9,90,Subj701,Platform,ND,70
5699.5,5700.5,50.38763516,10,100,Subj701,Platform,ND,80
6299.5,6300.5,51.17137553,11,110,Subj701,Platform,ND,90
6899.5,6900.5,52.29764225,12,120,Subj701,Platform,ND,100
9299.5,9300.5,50.56369592,16,160,Subj701,Platform,ND,140
9899.5,9900.5,46.31036331,17,170,Subj701,Platform,ND,150
10499.5,10500.5,48.44432854,18,180,Subj701,Platform,ND,160
11099.5,11100.5,48.84318578,19,190,Subj701,Platform,ND,170
11699.5,11700.5,48.82865286,20,200,Subj701,Platform,ND,180
12299.5,12300.5,49.46487173,21,210,Subj701,Platform,ND,190
12899.5,12900.5,50.92392259,22,220,Subj701,Platform,ND,200
13499.5,13500.5,52.45170951,23,230,Subj701,Platform,ND,210
14099.5,14100.5,51.41556312,24,240,Subj701,Platform,ND,220
14699.5,14700.5,53.51302595,25,250,Subj701,Platform,ND,230
15299.5,15300.5,49.21805559,26,260,Subj701,Platform,ND,240
